slice,ecmp,spf,dist_weight
178,1.403187998897847,1.5543527383977926,1.3336624935358332
179,1.3545910714558378,1.5290150396059152,1.2796857980768692
180,1.3545910714558378,1.5290150396059152,1.2802289688730968
181,1.3858808084504919,1.5702699961512807,1.298410654422667
182,1.3858808084504919,1.5702699961512807,1.2988556279667267
183,1.3825569470292136,1.6163550648443277,1.3008378193764478
184,1.3825569470292136,1.6163550648443277,1.3010969425466001
185,1.3364517158144857,1.5230094085747505,1.254197215608185
186,1.3364517158144857,1.5230094085747505,1.2543678804677443
187,1.3840402242283887,1.5602942126453223,1.3158711341594012
188,1.3866611328137215,1.628377536070377,1.3158211619670146
